Symbol,Quantity,StepSize,StepNumberBUYCE,StepNumberSELLCE,StepNumberBUYPE,StepNumberSELLPE,SellPremium_CE,SellPremium_PE,BuyPremium_PE,BuyPremium_CE,BuyPercentage,SellPercentage,EntryDate,EntryTime,ExitDate,ExitTime,BaseSymbol,TradeExpiery,LimitSubValue,TakeExitBuyCE,TakeExitBuyPE,TakeExitSellCE,TakeExitSellPE,InstantSQOFF
SBIN25JUL24FUT,3000,10,5,5,5,5,8,8,2,2,10,10,16-Jul-24,20:15,16-Jul-24,20:58,SBIN,25-Jul-24,0.5,TRUE,TRUE,TRUE,TRUE,FALSE
ACC25JUL24FUT,3000,20,3,3,3,3,40,40,20,20,5,5,16-Jul-24,20:15,16-Jul-24,20:58,ACC,25-Jul-24,0.5,TRUE,TRUE,TRUE,TRUE,FALSE
