symbol,Symbol,Quantity,StepSize,StepNumberBUYCE,StepNumberSELLCE,StepNumberBUYPE,StepNumberSELLPE,SellPremium_CE,SellPremium_PE,BuyPremium_PE,BuyPremium_CE,EntryDate,EntryTime,TradeExpiery,BaseSymbol,ExitDate,ExitTime,InitialTrade,BuyPercentage,SellPercentage,BuyrangeValue,SellrangeVale,Initial_Buy_Ce,Initial_Buy_Pe,Initial_Sell_Ce,Initial_Sell_Pe,CALLBUY_STOCKDEV,CALLSELL_STOCKDEV,PUTBUY_STOCKDEV,PUTSELL_STOCKDEV,LimitSubValue,TakeExitBuyCE,TakeExitBuyPE,TakeExitSellCE,TakeExitSellPE,InstantSQOFF,INSTRUMENTSAVED
SBIN25JUL24FUT,SBIN25JUL24FUT,3000,10,5,5,5,5,8,8,2,2,16-Jul-24,20:15,25-Jul-24,SBIN,16-Jul-24,20:58,TRADE_TAKEN,10,10,970.86,794.34,SBIN25JUL24970CE,SBIN25JUL24790PE,SBIN25JUL24920CE,SBIN25JUL24840PE,SBIN_25-Jul-2024_CE_970,SBIN_25-Jul-2024_CE_920,SBIN_25-Jul-2024_PE_790,SBIN_25-Jul-2024_PE_840,0.5,True,True,True,True,False,Done
ACC25JUL24FUT,ACC25JUL24FUT,3000,20,3,3,3,3,40,40,20,20,16-Jul-24,20:15,25-Jul-24,ACC,16-Jul-24,20:58,NOMORETRADES,5,5,2854.53,2582.67,ACC25JUL242900CE,ACC25JUL242560PE,ACC25JUL242800CE,ACC25JUL242640PE,ACC_25-Jul-2024_CE_2900,ACC_25-Jul-2024_CE_2800,ACC_25-Jul-2024_PE_2560,ACC_25-Jul-2024_PE_2640,0.5,True,True,True,True,False,Done
